feature,mean_auc_decrease,std_auc_decrease
status,0.11690476190476189,0.04007831996122825
duration,0.04362301587301585,0.0176389495954818
amount,0.028115079365079353,0.010373554017446723
purpose,0.019293650793650776,0.012739761548531013
credit_history,0.017492063492063493,0.010479749275281532
savings,0.010674603174603173,0.011312920681734758
other_installment_plans,0.0061468253968254135,0.003467329886700972
employment_duration,0.00563095238095237,0.002538283965108771
housing,0.005083333333333336,0.0040190577277387455
other_debtors,0.0019523809523809684,0.001296325990373655
installment_rate,0.001285714285714301,0.002716512592489665
present_residence,0.0008253968253968551,0.0004411013724314314
property,0.0006309523809523728,0.0022088921339806535
telephone,0.000107142857142876,0.0014398857506957392
number_credits,0.0,0.0
people_liable,-0.00013095238095236494,0.0007052001533152264
job,-0.005107142857142858,0.0028558776960797786
