feature,psi,severity
duration,2.479773692676755,action
score_probability_bad,0.33748519833656154,action
amount,0.31162729286676705,action
status,0.1433136689646573,watch
purpose,0.08398053812272332,stable
present_residence,0.03500774377438323,stable
employment_duration,0.03313220214835445,stable
property,0.03232865957880894,stable
telephone,0.03221511117961698,stable
credit_history,0.020214585282107924,stable
savings,0.01811594027794073,stable
job,0.015108900261693044,stable
number_credits,0.014385237414243971,stable
other_installment_plans,0.008108229990447908,stable
installment_rate,0.006281801867401142,stable
other_debtors,0.002672865665555131,stable
people_liable,0.0010931836603867207,stable
housing,0.00022334173868682368,stable
